year,agriculture_forestry_fishing,agriculture,forestry_logging,fishing,mining_quarrying,manufacturing,registered.manufacturing,unregistered.manufacturing,electricity.supply_gas.supply_water.supply,construction,trade_hotels_restaurant,trade,hotels_restaurants,transport_storage_communication,railways,transport.by.other.means,storage,communication,financing_insurance_real.estate_business.services,banking_insurance,real.estate_ownership.of.dwelling_business.services,community.services_social.services_personal.services,public.administration_defence,other.services,GDP.at.factor.cost,consumption.of.fixed.capital,net.factor.income.from.abroad,Net.Domestic.Product,Gross.National.Income,Net.National.Income,population(million),per.capita.income(not.in.core),net.indirect.taxes,GDP.at.market.prices,NDP.at.market.prices
1950-51,5199,4564,659,39,75,1055,462,648,24,267,636,597,41,332,213,118,7,36,1254,86,1243,1115,333,808,10036,531,-41,9505,9995,9464,359,264,365,10401,9870
1951-52,5369,4722,655,42,84,1170,511,722,30,305,676,632,46,372,245,129,7,40,1349,98,1330,1162,349,840,10596,576,-35,10020,10561,9985,365,274,458,11054,10478
1952-53,5230,4643,525,44,86,1102,465,700,31,284,687,645,44,368,235,131,7,41,1425,86,1425,1201,358,873,10449,585,-25,9865,10424,9840,372,265,401,10850,10266
1953-54,5762,5148,518,41,87,1242,509,808,33,285,734,688,48,387,238,144,8,42,1537,98,1530,1250,382,899,11378,557,-19,10822,11359,10803,379,285,432,11810,11254
1954-55,4902,4319,562,45,91,1288,549,812,36,316,747,700,48,404,262,142,8,43,1647,98,1646,1283,404,906,10689,506,-29,10183,10660,10154,386,263,481,11170,10664
1955-56,4753,4174,560,52,93,1324,589,803,42,394,763,714,49,429,288,143,7,47,1768,111,1759,1361,446,941,10861,542,-10,10319,10851,10309,393,262,510,11371,10829
1956-57,6039,5341,640,57,113,1576,722,930,49,445,894,834,58,484,318,168,8,51,1917,135,1887,1430,478,978,12965,586,-17,12379,12948,12362,401,308,582,13547,12961
1957-58,5914,5216,657,58,131,1679,776,982,60,409,964,898,61,561,385,188,9,54,2054,148,2019,1503,516,1013,13255,654,-20,12601,13235,12581,409,308,696,13951,13297
1958-59,6861,6086,678,66,141,1792,812,1069,70,472,1051,977,68,616,414,213,9,60,2203,159,2161,1597,568,1052,14827,714,-35,14113,14792,14078,418,337,724,15551,14837
1959-60,6893,6087,737,72,150,2007,936,1163,83,526,1164,1082,74,636,400,237,11,63,2364,173,2317,1760,617,1170,15574,763,-57,14811,15517,14754,426,346,810,16384,15621
1960-61,7256,6385,820,81,178,2337,1123,1306,95,680,1303,1220,84,682,421,267,11,64,2547,196,2485,1989,704,1313,17049,808,-72,16241,16977,16169,434,373,893,17942,17134
1961-62,7516,6577,924,89,188,2578,1234,1447,108,713,1387,1301,86,758,457,303,12,73,2602,226,2510,2154,778,1402,17992,896,-98,17096,17894,16998,444,383,1018,19010,18114
1962-63,7674,6714,952,88,225,2862,1411,1554,126,751,1494,1400,95,854,518,351,13,80,2987,278,2857,2343,877,1489,19238,971,-108,18267,19130,18159,454,400,1191,20429,19458
1963-64,9031,7936,1052,98,243,3264,1648,1725,149,860,1699,1589,110,930,571,371,14,92,3231,307,3083,2599,1019,1593,21986,1085,-112,20902,21874,20790,464,448,1476,23462,22378
1964-65,11034,9761,1146,113,257,3590,1836,1865,178,1020,2072,1926,150,1013,586,429,15,106,3512,360,3319,2945,1167,1792,25686,1240,-145,24446,25541,24301,474,513,1681,27367,26127
1965-66,11004,9670,1260,127,297,3826,1998,1937,201,1173,2246,2095,153,1100,649,449,17,116,3796,426,3546,3276,1300,1988,26895,1393,-164,25502,26731,25338,485,522,1962,28857,27464
1966-67,12801,11263,1413,156,322,4185,2194,2107,252,1382,2664,2485,183,1226,690,520,20,135,4063,465,3786,3665,1456,2222,30613,1633,-230,28980,30383,28750,495,581,2056,32669,31036
1967-68,16019,14187,1576,182,375,4471,2284,2328,292,1617,3080,2862,224,1365,699,646,21,147,4458,535,4124,4105,1651,2464,35976,1867,-258,34109,35718,33851,506,669,2285,38261,36394
1968-69,16512,14509,1874,199,400,4839,2471,2521,348,1753,3168,2952,220,1564,768,756,25,178,4772,587,4398,4422,1806,2622,37938,1999,-255,35940,37683,35685,518,689,2574,40512,38514
1969-70,18059,15919,1919,223,445,5573,2996,2713,414,1957,3418,3177,246,1689,800,827,28,200,5120,661,4682,4822,1986,2838,41722,2299,-271,39423,41451,39152,529,740,2883,44605,42306
1970-71,18620,16370,2059,241,466,6083,3218,3019,469,2071,3792,3530,266,1835,836,876,33,235,5579,792,5013,5315,2167,3154,44382,2804,-284,41578,44098,41294,541,763,3256,47638,44834
1971-72,19021,16646,2257,257,489,6748,3499,3439,511,2278,4119,3835,289,1983,902,957,35,261,6117,930,5425,5901,2433,3467,47221,3078,-291,44143,46930,43852,554,792,3778,50999,47921
1972-73,20921,18268,2545,298,527,7498,3873,3839,553,2483,4556,4230,333,2174,919,1166,38,273,6694,1070,5872,6456,2641,3819,51943,3425,-302,48518,51641,48216,567,850,4271,56214,52789
1973-74,27570,24170,3141,384,602,9074,4631,4716,597,2559,5647,5241,414,2410,818,1363,40,309,7465,1330,6379,7261,2993,4269,63658,4112,-325,59546,63333,59221,580,1021,4762,68420,64308
1974-75,30204,26331,3746,444,858,11661,6009,5989,768,2803,7597,7051,560,3044,1035,1598,46,353,8390,1665,6973,9142,3839,5284,74930,5297,-291,69633,74639,69342,593,1169,5840,80770,75473
1975-76,29937,25936,3831,554,1091,12129,6280,6193,939,3502,8635,8041,598,3432,1263,1818,64,404,9511,2146,7583,10290,4354,5908,79582,6263,-255,73319,79327,73064,607,1204,7125,86707,80444
1976-77,30585,26378,4153,587,1248,13421,7146,6604,1245,4144,8995,8372,619,4071,1560,2140,89,538,10579,2542,8239,11311,4655,6657,85545,6807,-233,78738,85312,78505,620,1266,7877,93422,86615
1977-78,36212,31373,4793,604,1380,15033,7871,7565,1423,4814,10268,9555,708,4434,1582,2512,95,592,11540,2809,8938,12296,4993,7320,97633,7328,-233,90305,97400,90072,634,1421,8215,105848,98520
1978-79,37217,31935,5431,721,1501,17312,9093,8674,1700,4940,10959,10210,740,5160,1523,3185,102,691,12448,3052,9617,13529,5512,8033,104930,8111,-156,96819,104774,96663,648,1492,9717,114647,106536
1979-80,38501,32685,6462,751,1872,19824,10437,10379,1964,4985,12922,12037,883,5682,1550,3278,122,751,13576,3387,10420,15149,6244,8908,114500,9887,153,104613,114653,104766,664,1578,11229,125729,115842
1980-81,48426,41326,7710,900,2334,22141,11602,11129,2271,6487,15907,14788,1109,6061,1571,3606,144,789,15120,4116,11184,17537,6941,10514,136838,11422,345,125416,137183,125761,679,1852,12804,149642,138220
1981-82,54583,46397,9301,977,4162,26040,13659,13072,2638,7411,19445,18129,1303,7501,2197,4271,172,905,17835,5230,12780,19927,7982,11848,160214,13921,40,146292,160253,146332,692,2115,15592,175805,161884
1982-83,58849,49736,10596,1139,5136,28431,15640,13385,3119,8403,21652,20043,1598,9097,2790,5062,188,1104,20453,6033,14618,23134,9483,13559,178985,16114,-634,162870,178351,162236,708,2291,17659,196644,180529
1983-84,70228,59836,11187,1402,5754,33708,19202,15066,3685,9660,25024,23116,1897,10692,3176,6060,215,1302,23388,6634,17006,26345,10978,15268,209356,17970,-944,191387,208412,190443,723,2634,19665,229021,211052
1984-85,75731,64334,12097,1696,6473,37867,22105,16274,4455,11334,29077,26899,2164,12048,3330,7108,247,1453,26907,7760,19425,30311,12822,17395,235113,20976,-1424,214137,233689,212713,739,2878,21498,256611,235635
1985-86,81160,68864,12692,2003,6923,41983,24527,18018,5382,13228,33840,31356,2466,14182,4115,8270,300,1593,30819,8824,22320,34284,14769,19428,262717,25137,-1429,237580,261288,236151,755,3128,26807,289524,264387
1986-87,87111,73583,14199,2278,8071,46413,26755,20359,6121,15220,37522,34873,2625,16750,4872,9715,320,1970,35337,10050,25665,39428,17516,21836,292924,28338,-1805,264586,291119,262781,771,3408,31025,323949,295611
1987-88,96905,81807,15515,2689,8453,52715,30643,22812,6871,18044,41779,38777,2979,20184,5576,11570,366,2800,40387,11531,29284,45700,20936,24713,332068,33192,-2619,298876,329449,296257,788,3760,36143,368211,335019
1988-89,119678,101853,17373,3137,11053,62131,36802,26051,7992,21040,49330,45689,3615,23829,6089,13952,387,3576,46926,13762,33625,52994,24270,28699,396295,38850,-4496,357444,391799,352948,805,4384,40598,436893,398042
1989-90,132264,111974,20187,3710,12198,74932,45429,30143,9560,24416,57842,53485,4330,27789,7105,16411,427,4048,55297,17212,38529,60741,28003,32749,456540,45248,-5731,411292,450809,405561,822,4934,45388,501928,456680
1990-91,154350,131108,21762,4547,13816,85934,52337,34278,11489,29656,67622,62485,5106,32696,8104,19430,510,4880,64598,20611,44454,70019,31490,38560,531814,52650,-7545,479163,524268,471618,839,5621,54399,586212,533562
1991-92,180313,154377,22454,5161,15141,93301,57568,36310,14067,33332,77019,71149,5835,38551,9223,22994,550,6024,78904,28080,51104,81366,36512,44887,613528,64627,-10077,548901,603451,538824,856,6295,60347,673875,609248
1992-93,202219,172814,24281,6452,17461,108092,65181,43911,17764,38031,89837,82918,6882,46412,10574,27635,604,7822,87495,29164,58840,94507,42045,52537,703723,74138,-11645,629585,692078,617940,872,7086,70822,774545,700407
1993-94,234566,200114,27478,8094,20309,125298,76700,49506,20941,42012,105475,97340,8091,55515,12050,32905,657,10076,105686,38246,67752,106090,46241,60006,817961,82856,-12080,735104,805881,723024,892,8106,73394,891355,808498
1994-95,270107,230030,31120,9932,22907,154814,96607,58924,26273,48278,126188,116969,9151,65954,13766,38860,796,12718,119442,45488,74079,118663,51594,67285,955386,96749,-13083,858637,942302,845554,910,9292,90205,1045590,948842
1995-96,293701,250426,32178,11104,25542,193570,120808,73654,30612,56789,155202,142972,12174,75974,15410,44702,929,15165,143791,60616,82741,140190,60765,79657,1118586,112586,-13484,1006000,1105102,992516,928,10695,108139,1226725,1114139
1996-97,353142,302674,34859,13160,28001,220575,139407,81801,33037,64648,183031,167849,15138,90104,16455,54959,986,18177,158637,66262,91957,166469,69181,97648,1301788,129848,-13082,1171940,1288706,1158858,946,12250,117489,1419277,1289429
1997-98,374744,318171,39213,16256,33777,229404,140014,91143,38842,80297,207502,190070,17389,105591,18574,65066,1048,21565,180642,76825,103204,193188,84643,108722,1447613,147267,-13205,1300346,1434408,1287141,964,13352,124781,1572394,1425127
1998-99,430384,367799,42869,17010,36062,250373,151900,100587,48062,95056,235910,215223,20665,122628,18625,77679,1196,25963,210593,88271,121737,236123,105345,130928,1668739,163740,-14968,1504998,1653771,1490030,983,15158,134639,1803378,1639637
1999-2000,455302,389414,47294,18595,41725,271255,158535,112719,46525,109213,262993,239312,23681,137657,20778,88176,1307,27397,260522,108586,151936,273013,123688,149325,1858205,186472,-15431,1671733,1842774,1656302,1001,16546,164925,2023130,1836658
2000-01,460608,388722,50938,20948,45868,306296,183593,122704,48129,119897,290704,264293,26411,152465,21094,99493,1443,30435,282316,108243,174073,294459,130501,163958,2000743,206892,-22733,1793851,1978010,1771118,1019,17381,176670,2177413,1970521
2001-02,498620,420596,55205,22818,48055,318496,197541,120955,49692,129390,324012,294898,29115,167939,22043,108041,1508,36348,321543,127580,193963,317513,140100,177413,2175260,228850,-20068,1946411,2155192,1926343,1040,18523,180585,2355845,2126996
